sample	Extraction	Specimen	Species	Feature_name	OTU	abundance	run	barcode	database	Broad.group	Interpretation	Phylum	Class	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	R1	pR1	R2	pR2	R3	pR3	R4	pR4	R5	pR5	R6	pR6	R7	pR7	R8	pR8	R9	pR9	R10	pR10	R11	pR11	R12	pR12	R13	pR13	R14	pR14	R15	pR15	R16	pR16	R17	pR17	R18	pR18	R19	pR19	R20	pR20
171_Physalia				285cbcb7d6193244b7a3e1511d056278	Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata	57	RUN1	152	SILVA138plus			Vertebrata	Gnathostomata											Eukaryota	91.67	Bilateria	73.33	Deuterostomia	73.33	Chordata	73.33	Vertebrata	73.33	Gnathostomata	73.33	Citharoides macrolepis	18.33																										
171_Physalia				442d22a22c48c9492fa5ef80d87fad56	Eukaryota_Discoba_Discicristata_Euglenozoa_Euglenida	21	RUN1	152	SILVA138plus			Euglenida												Eukaryota	88.09	Discoba	88.09	Discicristata	70.60	Euglenozoa	70.60	Euglenida	70.60	Heteronematina	53.02	metagenome	17.67																										
171_Physalia				4bf56081b5e2e02ab4d844f9ed3822e7	Eukaryota_Discoba_Discicristata_Euglenozoa_Euglenida	17	RUN1	152	SILVA138plus			Euglenida												Eukaryota	88.09	Discoba	88.09	Discicristata	70.60	Euglenozoa	70.60	Euglenida	70.60	Heteronematina	53.02	metagenome	17.67																										
171_Physalia				72bd71668daec784d62d5722a5298f86	Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea_Suctoria	148	RUN1	152	SILVA138plus			Phyllopharyngea	Suctoria											Eukaryota	90.13	Ciliophora	90.13	Intramacronucleata	90.13	Conthreep	90.13	Phyllopharyngea	90.13	Suctoria	72.15	uncultured eukaryote	18.33																										
171_Physalia				7f1fbad7269300548b5b8ca2f8c6cd01	Eukaryota_SAR	2993	RUN1	152	SILVA138plus															Eukaryota	91.67	SAR	73.33	Ochrophyta	55.00	Synurales	55.00	Mallomonas	55.00	Mallomonas caudata	18.33	Mallomonas caudata	18.33																										
171_Physalia				8e40298c9007f07e6a5195d0527fa98e	Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea_Suctoria	108	RUN1	152	SILVA138plus			Phyllopharyngea	Suctoria											Eukaryota	88.21	Ciliophora	88.21	Intramacronucleata	88.21	Conthreep	88.21	Phyllopharyngea	88.21	Suctoria	70.77	uncultured eukaryote	53.17																										
171_Physalia				9aba0e5c60f92208186d27f3b664b005	Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea	22	RUN1	152	SILVA138plus			Oligohymenophorea												Eukaryota	91.41	Ciliophora	91.41	Intramacronucleata	91.41	Conthreep	91.41	Oligohymenophorea	91.41	Glaucoma	18.20	Glaucoma chattoni	18.20																										
171_Physalia				b7f540728dd7eee8cc851b987ede234e	Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata	50	RUN1	152	SILVA138plus			Vertebrata	Gnathostomata											Eukaryota	91.67	Bilateria	73.33	Deuterostomia	73.33	Chordata	73.33	Vertebrata	73.33	Gnathostomata	73.33	Citharoides macrolepis	18.33																										
171_Physalia				cdf598246a6cf322bd808e13bbbf8390	Eukaryota_SAR_Rhizaria_Cercozoa_Glissomonadida	93	RUN1	152	SILVA138plus			Glissomonadida												Eukaryota	90.98	SAR	90.98	Rhizaria	90.98	Cercozoa	90.98	Glissomonadida	90.98	Viridiraptor	36.42	Viridiraptor invadens	18.21																										
171_Physalia				d1fb90e6f9837bdb2e1a43fd8cae77dc	Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea_Suctoria	343	RUN1	152	SILVA138plus			Phyllopharyngea	Suctoria											Eukaryota	90.13	Ciliophora	90.13	Intramacronucleata	90.13	Conthreep	90.13	Phyllopharyngea	90.13	Suctoria	72.15	uncultured eukaryote	18.33																										
171_Physalia				d27b35876528f3086b50e268d066e7aa	Eukaryota_SAR	2878	RUN1	152	SILVA138plus															Eukaryota	91.67	SAR	73.33	Ochrophyta	55.00	Synurales	55.00	Mallomonas	55.00	Mallomonas caudata	18.33	Mallomonas caudata	18.33																										
171_Physalia				db911f647a85b9ec23c30d20c660d656	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae	14576	RUN1	152	SILVA138plus			Siphonophorae												Eukaryota	91.67	Cnidaria	91.67	Hydrozoa	91.67	Hydroidolina	91.67	Siphonophorae	91.67	Siphonophorae sp	18.33	Siphonophorae sp	18.33																										
171_Physalia				df4481f4994a69dee8792db11e203dd9	Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea	538	RUN1	152	SILVA138plus			Oligohymenophorea												Eukaryota	91.67	Ciliophora	91.67	Intramacronucleata	91.67	Conthreep	91.67	Oligohymenophorea	91.67	Peniculia	36.66	Disematostoma minor	18.33																										
171_Physalia				e7e0b66a445466d9a27918c6b930c160	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae	17886	RUN1	152	SILVA138plus			Siphonophorae												Eukaryota	91.67	Cnidaria	91.67	Hydrozoa	91.67	Hydroidolina	91.67	Siphonophorae	91.67	Siphonophorae sp	18.33	Siphonophorae sp	18.33																										
108_Diphyes				53a6a452d34cbbd02a688c3e15959ad5	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	18702	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
108_Diphyes				6474cb111456864f0d3bc72bc4e7c5a4	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote	3	RUN1	166	SILVA138plus			Siphonophorae	uncultured eukaryote	uncultured eukaryote										Eukaryota	91.22	Cnidaria	91.22	Hydrozoa	91.22	Hydroidolina	91.22	Siphonophorae	91.22	uncultured eukaryote	72.97	uncultured eukaryote	72.97																										
108_Diphyes				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	16070	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
108_Diphyes				dcb39f6e035c2b9557574bb8c77933ce	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	13	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
109_Apolemia				1308af908156fa883da6d44764b680ba	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina	17127	RUN1	166	SILVA138plus															Eukaryota	91.24	Cnidaria	91.24	Hydrozoa	91.24	Hydroidolina	91.24	Siphonophorae	54.74	Physalia physalis	18.24	Physalia physalis	18.24																										
109_Apolemia				aa3b89dfa2e900e8b37f20605b1eb273	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina	21706	RUN1	166	SILVA138plus															Eukaryota	91.63	Cnidaria	91.63	Hydrozoa	91.63	Hydroidolina	91.63	Siphonophorae	54.97	Physalia physalis	18.32	Physalia physalis	18.32																										
110_Vogtia				0fc9d9a9e779adbfbc0711265b5b482a	Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi	28	RUN1	166	SILVA138plus			Nucletmycea	Fungi											Eukaryota	90.33	Amorphea	72.35	Obazoa	72.35	Opisthokonta	72.35	Nucletmycea	72.35	Fungi	72.35	uncultured marine picoeukaryote	18.23																										
110_Vogtia				19f3228c57d949316b4f2fb55d406cfb	Eukaryota_SAR_Alveolata_Protalveolata_Perkinsidae_A31	53	RUN1	166	SILVA138plus			Perkinsidae	A31											Eukaryota	90.07	SAR	90.07	Alveolata	90.07	Protalveolata	90.07	Perkinsidae	90.07	A31	90.07	eukaryotic picoplankton environmental sample	18.16																										
110_Vogtia				1adb5fdb923d3b34c59248bdee593f8b	Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote	118	RUN1	166	SILVA138plus			Syndiniales Group I	uncultured eukaryote	uncultured eukaryote										Eukaryota	91.42	SAR	91.42	Alveolata	91.42	Syndiniales	91.42	Syndiniales Group I	91.42	uncultured eukaryote	91.42	uncultured eukaryote	91.42																										
110_Vogtia				2ab5f80926d619a42bf1c656194e6c43	Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote	235	RUN1	166	SILVA138plus			Syndiniales Group I	uncultured eukaryote	uncultured eukaryote										Eukaryota	91.56	SAR	91.56	Alveolata	91.56	Syndiniales	91.56	Syndiniales Group I	73.25	uncultured eukaryote	91.56	uncultured eukaryote	91.56																										
110_Vogtia				33d6d73f0b744fc1ca933ff14353298a	Eukaryota_Chytridiomycota_Incertae Sedis_Spizellomycetales_Spizellomycetaceae	119	RUN1	166	SILVA138plus			Spizellomycetaceae												Eukaryota	91.31	Chytridiomycota	73.05	Incertae Sedis	91.31	Spizellomycetales	73.05	Spizellomycetaceae	73.05	Spizellomyces	36.52	Spizellomyces sp	18.26																										
110_Vogtia				41f12c7d42aebdf2d4a604f6e5c09f56	Eukaryota_Bilateria_Protostomia	23	RUN1	166	SILVA138plus															Eukaryota	89.19	Bilateria	89.19	Protostomia	89.19	Ecdysozoa	36.49	Arthropoda	36.49	Crustacea	36.49	Sergia hansjacobi	18.24																										
110_Vogtia				42b949f3e0dba4005e00a1ea7ff14e3c	Eukaryota_SAR_Rhizaria_Cercozoa_Glissomonadida	53	RUN1	166	SILVA138plus			Glissomonadida												Eukaryota	91.58	SAR	91.58	Rhizaria	91.58	Cercozoa	91.58	Glissomonadida	91.58	uncultured	54.95	uncultured Cercozoa	36.63																										
110_Vogtia				4be7aa7ece41a0d1f6e063f59bb3f632	Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote	142	RUN1	166	SILVA138plus			Syndiniales Group I	uncultured eukaryote	uncultured eukaryote										Eukaryota	91.14	SAR	91.14	Alveolata	91.14	Syndiniales	91.14	Syndiniales Group I	91.14	uncultured eukaryote	72.90	uncultured eukaryote	72.90																										
110_Vogtia				4eafe0df348fe22a8d9979f2c20ddb6b	Eukaryota_Amorphea_Amoebozoa_SAR_Stramenopiles_Labyrinthulomycetes	10	RUN1	166	SILVA138plus			Stramenopiles	Labyrinthulomycetes											Eukaryota	86.38	Amorphea	86.38	Amoebozoa	86.38	SAR	86.38	Stramenopiles	86.38	Labyrinthulomycetes	86.38	uncultured freshwater eukaryote	69.62																										
110_Vogtia				53a6a452d34cbbd02a688c3e15959ad5	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	13109	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
110_Vogtia				5902d62ac332936738847f35ae7087c2	Eukaryota_Ascomycota_Pezizomycotina	50	RUN1	166	SILVA138plus															Eukaryota	91.58	Ascomycota	91.58	Pezizomycotina	91.58	Rhytismatales	36.63	Rhytismataceae	18.31	Rhytisma	18.31	Rhytisma salicinum	18.31																										
110_Vogtia				646a64216e6af24a0bba3b34fa113110	Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote	152	RUN1	166	SILVA138plus			Syndiniales Group I	uncultured eukaryote	uncultured eukaryote										Eukaryota	91.21	SAR	91.21	Alveolata	91.21	Syndiniales	91.21	Syndiniales Group I	72.97	uncultured eukaryote	91.21	uncultured eukaryote	91.21																										
110_Vogtia				77001f93da2816b0cba17a77fcc176dd	Eukaryota_SAR_Ochrophyta	1665	RUN1	166	SILVA138plus															Eukaryota	91.55	SAR	91.55	Ochrophyta	73.24	Ochromonadales	36.62	Ochromonas	36.62	uncultured Chrysolepidomonas	18.31	uncultured Chrysolepidomonas	18.31																										
110_Vogtia				8279677ea9aae27be0bfdbaa8de73be9	Eukaryota_SAR_Stramenopiles_Peronosporomycetes	26	RUN1	166	SILVA138plus															Eukaryota	91.58	SAR	91.58	Stramenopiles	91.58	Peronosporomycetes	91.58	Myzocytiopsis subuliformis	18.31		0	Myzocytiopsis subuliformis	18.31																										
110_Vogtia				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	12542	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
110_Vogtia				91ea8bc8ee95510838252db010cfd36d	Eukaryota_SAR_Ochrophyta	40	RUN1	166	SILVA138plus															Eukaryota	91.27	SAR	91.27	Ochrophyta	91.27	Ochromonadales	54.93	uncultured Chrysophyceae	36.62		0	uncultured Chrysophyceae	36.62																										
110_Vogtia				9ce9b59b221cabcb96ea67e60be952a6	Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Paramecium	48	RUN1	166	SILVA138plus			Oligohymenophorea	Paramecium											Eukaryota	90.49	Ciliophora	90.49	Intramacronucleata	90.49	Conthreep	90.49	Oligohymenophorea	90.49	Paramecium	90.49	Paramecium putrinum	36.49																										
110_Vogtia				a7787c3bb097d6d32210b15a15b99f16	Eukaryota_Amorphea_Amoebozoa_SAR_Stramenopiles_Labyrinthulomycetes	24	RUN1	166	SILVA138plus			Stramenopiles	Labyrinthulomycetes											Eukaryota	86.21	Amorphea	86.21	Amoebozoa	86.21	SAR	86.21	Stramenopiles	86.21	Labyrinthulomycetes	86.21	uncultured freshwater eukaryote	69.45																										
110_Vogtia				b000b1aa95ba11109e2652969cde844b	Eukaryota_Chytridiomycota_Incertae Sedis_Spizellomycetales_Spizellomycetaceae	139	RUN1	166	SILVA138plus			Spizellomycetaceae												Eukaryota	91.16	Chytridiomycota	72.92	Incertae Sedis	91.16	Spizellomycetales	72.92	Spizellomycetaceae	72.92	Phlyctochytrium	36.42	Phlyctochytrium arcticum	18.24																										
110_Vogtia				b6f657f69dd840b370462c5f141fd842	Eukaryota_SAR_Ochrophyta	1664	RUN1	166	SILVA138plus															Eukaryota	91.55	SAR	91.55	Ochrophyta	73.24	Ochromonadales	36.62	Ochromonas	36.62	uncultured Chrysolepidomonas	18.31	uncultured Chrysolepidomonas	18.31																										
110_Vogtia				be25c3391d83d3e481303f93e79930f5	Eukaryota_SAR_Alveolata_Syndiniales_Duboscquella_uncultured eukaryote_uncultured eukaryote	79	RUN1	166	SILVA138plus			Duboscquella	uncultured eukaryote	uncultured eukaryote										Eukaryota	91.07	SAR	91.07	Alveolata	91.07	Syndiniales	91.07	Duboscquella	72.90	uncultured eukaryote	72.90	uncultured eukaryote	91.07																										
110_Vogtia				c66d73add594b2b3242cc320aa1b4e1f	Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I	32	RUN1	166	SILVA138plus			Syndiniales Group I												Eukaryota	91.07	SAR	91.07	Alveolata	91.07	Syndiniales	91.07	Syndiniales Group I	91.07	uncultured marine alveolate	36.48	uncultured marine alveolate	36.48																										
110_Vogtia				d1364d79cfcc808e6ccbcfcf1e1b1e12	Eukaryota_SAR_Rhizaria_Cercozoa_Glissomonadida_Heteromita_uncultured eukaryote	365	RUN1	166	SILVA138plus			Glissomonadida	Heteromita	uncultured eukaryote										Eukaryota	91.58	SAR	91.58	Rhizaria	91.58	Cercozoa	91.58	Glissomonadida	91.58	Heteromita	91.58	uncultured eukaryote	91.58																										
110_Vogtia				d3183365203614d14c609b1804caa401	Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I	39	RUN1	166	SILVA138plus			Syndiniales Group I												Eukaryota	91.07	SAR	91.07	Alveolata	91.07	Syndiniales	91.07	Syndiniales Group I	91.07	uncultured marine alveolate	36.48	uncultured marine alveolate	36.48																										
110_Vogtia				eb4fff2a94fccf272c033373fbea797c	Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Paramecium	65	RUN1	166	SILVA138plus			Oligohymenophorea	Paramecium											Eukaryota	90.49	Ciliophora	90.49	Intramacronucleata	90.49	Conthreep	90.49	Oligohymenophorea	90.49	Paramecium	90.49	Paramecium putrinum	36.49																										
110_Vogtia				f2dac6696fbe736a372602eebbd5465f	Eukaryota_SAR_Rhizaria_Cercozoa_Glissomonadida_Heteromita_uncultured eukaryote	199	RUN1	166	SILVA138plus			Glissomonadida	Heteromita	uncultured eukaryote										Eukaryota	91.65	SAR	91.65	Rhizaria	91.65	Cercozoa	91.65	Glissomonadida	91.65	Heteromita	91.65	uncultured eukaryote	73.32																										
110_Vogtia				f4e06c63b7716792223bee375f38587b	Eukaryota_SAR_Alveolata_Syndiniales_Duboscquella_uncultured eukaryote_uncultured eukaryote	69	RUN1	166	SILVA138plus			Duboscquella	uncultured eukaryote	uncultured eukaryote										Eukaryota	91.42	SAR	91.42	Alveolata	91.42	Syndiniales	91.42	Duboscquella	73.18	uncultured eukaryote	73.18	uncultured eukaryote	91.42																										
111_Forskalia				53a6a452d34cbbd02a688c3e15959ad5	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	23985	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
111_Forskalia				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	21892	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
111_Forskalia				dcb39f6e035c2b9557574bb8c77933ce	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	34	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
112_Forskalia				53a6a452d34cbbd02a688c3e15959ad5	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	28157	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
112_Forskalia				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	24134	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
113_Chuniphyes				53a6a452d34cbbd02a688c3e15959ad5	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	27	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
113_Chuniphyes				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	16834	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
113_Chuniphyes				aa3b89dfa2e900e8b37f20605b1eb273	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina	20258	RUN1	166	SILVA138plus															Eukaryota	91.63	Cnidaria	91.63	Hydrozoa	91.63	Hydroidolina	91.63	Siphonophorae	54.97	Physalia physalis	18.32	Physalia physalis	18.32																										
114_Nanomia				1308af908156fa883da6d44764b680ba	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina	20777	RUN1	166	SILVA138plus															Eukaryota	91.24	Cnidaria	91.24	Hydrozoa	91.24	Hydroidolina	91.24	Siphonophorae	54.74	Physalia physalis	18.24	Physalia physalis	18.24																										
114_Nanomia				53a6a452d34cbbd02a688c3e15959ad5	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	451	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
114_Nanomia				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	465	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
114_Nanomia				aa3b89dfa2e900e8b37f20605b1eb273	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina	22616	RUN1	166	SILVA138plus															Eukaryota	91.63	Cnidaria	91.63	Hydrozoa	91.63	Hydroidolina	91.63	Siphonophorae	54.97	Physalia physalis	18.32	Physalia physalis	18.32																										
115_Nanomia				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	9179	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
115_Nanomia				aa3b89dfa2e900e8b37f20605b1eb273	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina	14135	RUN1	166	SILVA138plus															Eukaryota	91.63	Cnidaria	91.63	Hydrozoa	91.63	Hydroidolina	91.63	Siphonophorae	54.97	Physalia physalis	18.32	Physalia physalis	18.32																										
116_Nanomia				53a6a452d34cbbd02a688c3e15959ad5	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	26287	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
116_Nanomia				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	25159	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
116_Nanomia				e49fd19934277b3b1a1356dfe269da1d	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	15	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
117_Sphaeronectes				1308af908156fa883da6d44764b680ba	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina	21747	RUN1	166	SILVA138plus															Eukaryota	91.24	Cnidaria	91.24	Hydrozoa	91.24	Hydroidolina	91.24	Siphonophorae	54.74	Physalia physalis	18.24	Physalia physalis	18.24																										
117_Sphaeronectes				80516cbe01cae67f3c22d6679f2554cd	Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea	326	RUN1	166	SILVA138plus			Arthropoda	Crustacea											Eukaryota	90.91	Bilateria	90.91	Protostomia	90.91	Ecdysozoa	90.91	Arthropoda	90.91	Crustacea	90.91	Gaussia princeps	18.32																										
117_Sphaeronectes				85bd310cb80ca6ff623d3c4840a643fb	Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea	430	RUN1	166	SILVA138plus			Arthropoda	Crustacea											Eukaryota	91.26	Bilateria	91.26	Protostomia	91.26	Ecdysozoa	91.26	Arthropoda	91.26	Crustacea	91.26	Gaussia princeps	18.32																										
117_Sphaeronectes				aa3b89dfa2e900e8b37f20605b1eb273	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina	24702	RUN1	166	SILVA138plus															Eukaryota	91.63	Cnidaria	91.63	Hydrozoa	91.63	Hydroidolina	91.63	Siphonophorae	54.97	Physalia physalis	18.32	Physalia physalis	18.32																										
118_Muggiaea				53a6a452d34cbbd02a688c3e15959ad5	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	23750	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
118_Muggiaea				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	20333	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
118_Muggiaea				b6f657f69dd840b370462c5f141fd842	Eukaryota_SAR_Ochrophyta	20	RUN1	166	SILVA138plus															Eukaryota	91.55	SAR	91.55	Ochrophyta	73.24	Ochromonadales	36.62	Ochromonas	36.62	uncultured Chrysolepidomonas	18.31	uncultured Chrysolepidomonas	18.31																										
118_Muggiaea				dcb39f6e035c2b9557574bb8c77933ce	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	17	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
119_Muggiaea				53a6a452d34cbbd02a688c3e15959ad5	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	28085	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
119_Muggiaea				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	25131	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
119_Muggiaea				b6f657f69dd840b370462c5f141fd842	Eukaryota_SAR_Ochrophyta	24	RUN1	166	SILVA138plus															Eukaryota	91.55	SAR	91.55	Ochrophyta	73.24	Ochromonadales	36.62	Ochromonas	36.62	uncultured Chrysolepidomonas	18.31	uncultured Chrysolepidomonas	18.31																										
119_Muggiaea				e49fd19934277b3b1a1356dfe269da1d	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	34	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
120_Muggiaea				53a6a452d34cbbd02a688c3e15959ad5	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	18865	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.48	Ctenophora	18.29	Tentaculata	18.29	uncultured eukaryote	18.29		0		0	uncultured eukaryote	73.18																										
120_Muggiaea				8b667c194a54a00e4deeb5e9b2461da4	Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote	14183	RUN1	166	SILVA138plus					uncultured eukaryote										Eukaryota	91.24	Ctenophora	18.24	Tentaculata	18.24	uncultured eukaryote	18.24		0		0	uncultured eukaryote	72.99																										
121_Muggiaea				1308af908156fa883da6d44764b680ba	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina	12089	RUN1	166	SILVA138plus															Eukaryota	91.24	Cnidaria	91.24	Hydrozoa	91.24	Hydroidolina	91.24	Siphonophorae	54.74	Physalia physalis	18.24	Physalia physalis	18.24																										
121_Muggiaea				aa3b89dfa2e900e8b37f20605b1eb273	Eukaryota_Cnidaria_Hydrozoa_Hydroidolina	14908	RUN1	166	SILVA138plus															Eukaryota	91.63	Cnidaria	91.63	Hydrozoa	91.63	Hydroidolina	91.63	Siphonophorae	54.97	Physalia physalis	18.32	Physalia physalis	18.32																										
